status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,940,67.46,2026-08-24T00:26:37.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,535,37.815,2026-08-24T00:26:34.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,49,24.445,2026-08-24T00:26:34.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,16539,119.882,2026-08-24T00:26:33.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,535,40.559,2026-08-24T00:25:58.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,49,40.461,2026-08-24T00:25:58.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/update-status HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,59,51.829,2026-08-24T00:25:41.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/update-status HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,59,55.349,2026-08-24T00:25:35.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,915,47.093,2026-08-24T00:25:23.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,220,33.96,2026-08-24T00:25:14.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,535,31.578,2026-08-24T00:25:13.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,23.421,2026-08-24T00:25:13.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,49,23.85,2026-08-24T00:25:12.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,240,96.371,2026-08-24T00:25:09.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /ajax/attendance/dashboard-summary HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,151,43.49,2026-08-24T00:25:05.000000Z
